Module,File,Line,Method,Endpoint,RequestFields,Client
components,src/components/TicketInnerLayer.jsx,69,GET,{{window.URL.createObjectURL}},,axios
components,src/components/TicketInnerLayer.jsx,71,GET,{{window.URL.createObjectURL}},,axios
components,src/components/ExpenditureLayer.jsx,197,GET,{path} OR {{replace}}/{{path.replace}},,fetch
components,src/components/CaseStudiesAddLayer.jsx,94,GET,{url},,fetch
components,src/components/ServicePlanAddLayer.jsx,148,GET,{url},,fetch
components,src/components/TicketInnerLayer.jsx,488,GET,{VITE_APIURL_IMAGE}TicketDocuments/{{rawName.trim}},,fetch
services,src/services/notificationService.js,23,POST,{VITE_APIURL}/api/Notifications/SendNotification,,fetch
components,src/components/ReasonLayer.jsx,28,GET,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/TicketsAddLayer.jsx,38,GET,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,57,POST,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,53,PUT,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,81,DELETE,{VITE_APIURL}AfterServiceLeads/{id},,axios
components,src/components/TelecalerAssignBookingLayer.jsx,185,POST,{VITE_APIURL}Agents,,axios
components,src/components/AssignSupervisorArea.jsx,118,POST,{VITE_APIURL}Area/AssignAreasToSupervisor,"areaIds, supervisorId, assignedBy",axios
components,src/components/AreaLayer.jsx,197,DELETE,{VITE_APIURL}Area/DeleteArea,areaId,axios
components,src/components/AreaLayer.jsx,53,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/AssignSupervisorArea.jsx,36,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/BasicInformationLayer.jsx,219,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/LeadViewLayer.jsx,587,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/AssignSupervisorArea.jsx,90,GET,{VITE_APIURL}Area/GetAreaWiseSupervisor,,axios
components,src/components/AreaLayer.jsx,125,POST,{VITE_APIURL}Area/InsertArea,"areaName, stateId, cityId, pincode, createdBy, isActive",axios
components,src/components/AreaLayer.jsx,105,PUT,{VITE_APIURL}Area/UpdateArea,"areaId, areaName, stateId, cityId, pincode, isActive, modifiedBy",axios
