Method,Endpoint,RequestFields,SourceFiles,SourceLocations,Client
POST,{VITE_APIURL}/api/Notifications/SendNotification,,src/services/notificationService.js,src/services/notificationService.js:23,fetch
GET,{VITE_APIURL}AfterServiceLeads,,src/components/ReasonLayer.jsx; src/components/TicketsAddLayer.jsx,src/components/ReasonLayer.jsx:28; src/components/TicketsAddLayer.jsx:38,axios
POST,{VITE_APIURL}AfterServiceLeads,,src/components/ReasonLayer.jsx,src/components/ReasonLayer.jsx:57,axios
PUT,{VITE_APIURL}AfterServiceLeads,,src/components/ReasonLayer.jsx,src/components/ReasonLayer.jsx:53,axios
DELETE,{VITE_APIURL}AfterServiceLeads/{id},,src/components/ReasonLayer.jsx,src/components/ReasonLayer.jsx:81,axios
POST,{VITE_APIURL}Agents,,src/components/TelecalerAssignBookingLayer.jsx,src/components/TelecalerAssignBookingLayer.jsx:185,axios
POST,{VITE_APIURL}Area/AssignAreasToSupervisor,"areaIds, assignedBy, supervisorId",src/components/AssignSupervisorArea.jsx,src/components/AssignSupervisorArea.jsx:118,axios
DELETE,{VITE_APIURL}Area/DeleteArea,areaId,src/components/AreaLayer.jsx,src/components/AreaLayer.jsx:197,axios
GET,{VITE_APIURL}Area/GetArea,,src/components/AreaLayer.jsx; src/components/AssignSupervisorArea.jsx; src/components/BasicInformationLayer.jsx; src/components/LeadViewLayer.jsx,src/components/AreaLayer.jsx:53; src/components/AssignSupervisorArea.jsx:36; src/components/BasicInformationLayer.jsx:219; src/components/LeadViewLayer.jsx:587,axios
GET,{VITE_APIURL}Area/GetAreaWiseSupervisor,,src/components/AssignSupervisorArea.jsx,src/components/AssignSupervisorArea.jsx:90,axios
POST,{VITE_APIURL}Area/InsertArea,"areaName, cityId, createdBy, isActive, pincode, stateId",src/components/AreaLayer.jsx,src/components/AreaLayer.jsx:125,axios
PUT,{VITE_APIURL}Area/UpdateArea,"areaId, areaName, cityId, isActive, modifiedBy, pincode, stateId",src/components/AreaLayer.jsx,src/components/AreaLayer.jsx:105,axios
POST,{VITE_APIURL}AssignSupervisor,"AssignedBy, AssingedTimeSlot, BookingID, SupervisorID, TechID, TimeSlot",src/components/SupervisorAssignBookingLayer.jsx,src/components/SupervisorAssignBookingLayer.jsx:635,axios
PUT,{VITE_APIURL}AssignSupervisor,"AssignedBy, AssingedTimeSlot, BookingID, SupervisorID, TechID, TimeSlot",src/components/SupervisorAssignBookingLayer.jsx,src/components/SupervisorAssignBookingLayer.jsx:608,axios
POST,{VITE_APIURL}Auth/Admin-login,,src/components/SignInLayer.jsx,src/components/SignInLayer.jsx:40,axios
GET,{VITE_APIURL}Auth/adminid?adminid={{localStorage.getItem}},,src/components/ViewProfileLayer.jsx,src/components/ViewProfileLayer.jsx:82,axios
GET,{VITE_APIURL}Auth/adminid?adminid=2,,src/masterLayout/MasterLayout.jsx,src/masterLayout/MasterLayout.jsx:206,axios
POST,{VITE_APIURL}Auth/refresh,refreshToken,src/utils/axiosInterceptor.js,src/utils/axiosInterceptor.js:83,axios
POST,{VITE_APIURL}Auth/technician-login,,src/components/ResetPasswordLayer.jsx,src/components/ResetPasswordLayer.jsx:35,axios
POST,{VITE_APIURL}Blogs/InsertBlog,"PostCategory, PostDescription, PostTitle, Thumbnai1",src/components/AddBlogLayer.jsx,src/components/AddBlogLayer.jsx:74,axios
